PROJECT 명,차종명,MAKER,지역,비고
TK1,픽업(PICK UP),KMC,국내,
TL,투싼,HMC,국내,
TLc,투싼,HMC,중국,
TLe,투싼,HMC,체코,
TLi,투싼,HMC,인도,
TM,싼타페,HMC,국내,
TMa,싼타페 미국,HMC,미국,
TMaH,싼타페 HEV 미국,HMC,미국,
TMc,싼타페 중국,HMC,중국,
TMid,싼타페 개조차 CKD,HMC,인도네시아,
TMkH,싼타페 HEV/PHEV,HMC,국내,
UM,올뉴 쏘렌토,KMC,국내,
UMa,올뉴 쏘렌토,KMC,미국,
US4,STARIA(스타리아 라운지),HMC,국내,
US4kH,스타리아 HEV,HMC,국내,
VF,i40,HMC,국내,
XM,쏘렌토 R,KMC,국내,
Xma,쏘렌토 R,KMC,미국,
YB,리오,KMC,국내,
YC,베르나,HMC,중국,
YDc,K3 중국,KMC,중국,
YDm,K3,KMC,멕시코,
YG,K7,KMC,국내,
YGE,K7 HEV,KMC,국내,
YPi,그랜드카니발,KMC,인도,
